tidk,tidak
enk,enak
mknn,makanan
sy,saya
mkn,makan
jug,juga
orng,orang
bis,bisa
temt,tempat
sj,saja
sudh,sudah
demokrt,demokrat
restorn,restoran
klu,kalo
sngt,sangat
nsi,nasi
bukn,bukan
bgus,bagus
kmi,kami
dri,dari
thun,tahun
brt,berarti
jkrt,jakarta
msih,masih
menj,menjadi
dlm,dalam
hrus,harus
kembli,kembali
kl,kalo
terim,terima
rti,berarti
sebgi,sebagai
mhl,mahal
jngn,jangan
sekrng,sekarang
cob,coba
lgi,lagi
rkyt,rakyat
sekli,sekali
islm,islam
bngt,banget
olitik,politik
bersm,bersama
ksih,kasih
mellui,melalui
kren,keren
hsil,hasil
bndung,bandung
sund,sunda
hri,hari
jln,jalan
kelurg,keluarga
terllu,terlalu
stu,satu
menikmti,menikmati
temn,teman
dtng,datang
dging,daging
minumn,minuman
bnget,banget
dekt,dekat
besr,besar
indonesi,indonesia
kurng,kurang
wktu,waktu
slh,salah
mengecewkn,mengecewakan
gm,gimana
rumh,rumah
memng,memang
setelh,setelah
miniml,minimal
ridwn,ridwan
residen,presiden
gerindr,gerindra
hrg,harga
ilgub,pilgub
lngsung,langsung
sesui,sesuai
murh,murah
lumyn,lumayan
membut,membuat
mencob,mencoba
klin,kalian
thu,tahun
mlh,malah
bilng,bilang
kmil,kamil
bekerj,bekerja
krtu,kartu
mml,memilih
seerti,seperti
nies,anies
selmt,selamat
mint,minta
mn,mana
bkso,bakso
mnt,menanti
sellu,selalu
benr,benar
kit,kita
sm,sama
indost,indosat
wrg,warga
rmh,rumah
golkr,golkar
indhone,indonesia
trnsksi,transaksi
emokrt,demokrat
musola,mushola
mmbri,memberi
membangi,membangi
memilik,memiliki
menggnti,mengganti
bingbang,bingung
sekarng,sekarang
kebalikkan,kebalikan
berutang,berhutang
veget,vegetarian
melakkan,melakukan
jikalau, jika kalau
jauhi,menjauhi
malamb,malamb
pgie,pagi
rayakan,merayakan
telp,telepon
kereen,keren
tbtb,tiba
malambdi,malam
rm,rumah makan
rp,rupiah
aja,saja
mi,mie

